,item_id,amount,currency,location,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,İpoteka,Təmir,Torpaq sahəsi,Binanın növü
74,5158715,174000,AZN,"['Səbail r.', 'Bayıl q.']",Yeni tikili,12 / 17,78 m²,2.0,var,var,var,,
75,5234587,475000,AZN,"['Səbail r.', 'Badamdar q.']",Həyət evi/Bağ evi,,280 m²,7.0,var,,var,4.3 sot,
76,5190895,153000,AZN,"['Dərnəgül m.', 'Binəqədi r.', '7-ci mikrorayon q.']",Yeni tikili,10 / 10,50 m²,2.0,var,var,var,,
77,5155975,209000,AZN,"['Təhsil Nazirliyi', 'Gənclik m.', 'Nərimanov r.']",Yeni tikili,8 / 16,71 m²,3.0,var,var,var,,
78,5237452,380000,AZN,"['Şah İsmayıl Xətai m.', 'Xətai r.']",Yeni tikili,15 / 24,160 m²,3.0,var,var,var,,
79,4941452,219000,AZN,['Xətai r.'],Yeni tikili,4 / 16,73 m²,2.0,yoxdur,,yoxdur,,
80,5216373,900,AZN,"['Yasamal bazarı', 'İnşaatçılar m.', 'Yasamal r.']",Yeni tikili,4 / 18,65 m²,2.0,,,var,,
81,5214275,98000,AZN,"['Xəzər r.', 'Türkan q.']",Torpaq,,8.1 sot,,var,,,,
82,5212014,295000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,,155 m²,4.0,var,var,var,3.5 sot,
83,5236052,280000,AZN,"['Bakı Slavyan Universiteti', '28 May m.', 'Azərbaycan Dillər Universiteti', 'Azərbaycan Dövlət Neft və Sənaye Universiteti', 'Nəsimi r.']",Yeni tikili,18 / 18,104 m²,3.0,var,var,var,,
84,5167702,300488,AZN,"['Gənclik m.', 'Nərimanov r.']",Yeni tikili,2 / 16,85.1 m²,2.0,var,,yoxdur,,
85,5234910,1200,AZN,"['Nəriman Nərimanov m.', 'Nəriman Nərimanov parkı', 'Nərimanov r.']",Yeni tikili,10 / 16,120 m²,3.0,,,var,,
86,5236144,700,AZN,"['İnşaatçılar m.', 'Yasamal r.']",Yeni tikili,4 / 12,60 m²,2.0,,,var,,
87,4507856,2700,AZN,"['Abşeron r.', 'Mehdiabad q.']",Obyekt,,450 m²,,,,var,,
88,5237594,177000,AZN,"['Nəriman Nərimanov m.', 'Nərimanov r.']",Yeni tikili,8 / 17,59 m²,2.0,yoxdur,,var,,
89,5095902,220000,AZN,[],Həyət evi/Bağ evi,,80 m²,4.0,var,,var,3 sot,
90,5077846,2500000,AZN,"['Gənclik m.', 'Nərimanov r.']",Həyət evi/Bağ evi,,800 m²,18.0,var,,var,8 sot,
91,5184042,600,AZN,"['Xətai r.', 'NZS q.']",Həyət evi/Bağ evi,,80 m²,2.0,,,var,2 sot,
92,5236312,550,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yasamal q.']",Yeni tikili,6 / 16,65 m²,2.0,,,var,,
93,5149008,400000,AZN,"['Şərq bazarı', 'Nərimanov r.']",Yeni tikili,12 / 16,105 m²,3.0,yoxdur,,var,,
94,4907322,73000,AZN,"['Suraxanı r.', 'Əmircan q.']",Həyət evi/Bağ evi,,65 m²,3.0,var,,var,1 sot,
95,5236165,156000,AZN,"['Zərifə Əliyeva adına park', 'Nəsimi m.', 'Memar Əcəmi m.', 'Binəqədi r.', '9-cu mikrorayon q.']",Köhnə tikili,1 / 9,63 m²,2.0,var,var,var,,
96,5234289,187000,AZN,"['Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,12 / 17,117 m²,3.0,var,,var,,
97,4509811,128000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '4-cü mikrorayon q.']",Köhnə tikili,4 / 5,55 m²,2.0,var,,var,,
98,5188706,280600,AZN,"['Şah İsmayıl Xətai m.', 'Xətai r.']",Yeni tikili,9 / 16,122 m²,3.0,var,,yoxdur,,
99,4352079,621000,AZN,"['Ağ şəhər', 'ASAN Xidmət №2', 'Xətai r.', 'Ağ şəhər q.']",Yeni tikili,10 / 20,135 m²,3.0,yoxdur,,yoxdur,,
100,3740516,289660,AZN,"['Montin bazarı', 'Rəssamlıq Akademiyası', 'Nərimanov r.']",Yeni tikili,10 / 14,103.5 m²,2.0,yoxdur,,yoxdur,,
101,5223667,328000,AZN,"['Nəriman Nərimanov m.', 'Gənclik m.', 'Nərimanov r.']",Yeni tikili,8 / 10,120 m²,3.0,yoxdur,,yoxdur,,
102,5175464,170000,AZN,"['Azadlıq Prospekti m.', 'Nəsimi m.', 'Binəqədi r.', '8-ci mikrorayon q.']",Yeni tikili,7 / 19,67 m²,2.0,yoxdur,,var,,
103,5116318,235000,AZN,"['Şərq bazarı', '28 May m.', 'Nərimanov r.']",Yeni tikili,14 / 16,75 m²,2.0,yoxdur,,var,,
104,5234979,60000,AZN,[],Yeni tikili,17 / 18,61.1 m²,2.0,yoxdur,,yoxdur,,
105,4554757,50,AZN,"['Bakı Musiqi Akademiyası', 'Milli Konservatoriya', 'Azərbaycan Dövlət Neft və Sənaye Universiteti', 'Qış parkı', '28 May m.', 'Bakı Slavyan Universiteti', 'Azərbaycan Dillər Universiteti', 'Sahil m.', 'Səbail r.']",Köhnə tikili,3 / 5,65 m²,2.0,,,var,,
106,5225980,145000,AZN,['Xətai r.'],Köhnə tikili,4 / 9,70 m²,3.0,var,var,var,,
107,5213279,3000,AZN,"['Nərimanov r.', 'Nəriman Nərimanov m.']",Ofis,,380 m²,5.0,,,var,,Biznes mərkəzi
108,5224753,59000,AZN,"['Suraxanı r.', 'Hövsan q.']",Yeni tikili,3 / 9,44 m²,1.0,yoxdur,,var,,
109,5235461,94500,AZN,"['Suraxanı r.', 'Hövsan q.']",Köhnə tikili,1 / 9,65 m²,3.0,var,,var,,
110,4156417,264000,AZN,"['Nəsimi bazarı', 'Nərimanov r.']",Yeni tikili,17 / 18,115 m²,3.0,var,var,yoxdur,,
111,5171249,250000,AZN,"['Filarmoniya bağı', 'Prezident parkı', 'Dövlət İdarəçilik Akademiyası', 'İçəri Şəhər m.', 'Axundov bağı', 'Şəlalə parkı', 'İqtisad Universiteti', 'Səbail r.']",Obyekt,,100 m²,,var,var,var,,
112,5237814,700,AZN,"['İnşaatçılar m.', 'Yasamal r.']",Həyət evi/Bağ evi,,110 m²,5.0,,,var,2 sot,
113,5156721,349000,AZN,"['Port Baku', 'Cavanşir körpüsü', 'Crescent Bay', 'Xətai r.']",Köhnə tikili,4 / 16,111 m²,3.0,var,var,var,,
114,4935186,260000,AZN,"['Bakı Asiya Universiteti', '8 Noyabr m.', '20 Yanvar m.', 'Nəsimi r.']",Yeni tikili,17 / 17,160 m²,3.0,var,var,var,,
115,5237381,550,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Yeni tikili,11 / 14,60 m²,2.0,,,var,,
116,5201096,106000,AZN,"['Abşeron r.', 'Məmmədli q.']",Həyət evi/Bağ evi,,135 m²,4.0,var,,var,2.5 sot,
117,5190931,70000,AZN,"['Abşeron r.', 'Masazır q.']",Yeni tikili,6 / 6,57 m²,3.0,var,,var,,
118,4894845,235000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,,160 m²,4.0,var,,var,4 sot,
119,5184358,89000,AZN,[],Köhnə tikili,4 / 5,70 m²,3.0,var,,yoxdur,,
120,5115368,267000,AZN,"['Neftçi bazası', 'ASAN Xidmət №1', 'Nərimanov r.']",Köhnə tikili,8 / 9,110 m²,4.0,var,var,var,,
121,5142925,141000,AZN,"['Suraxanı r.', 'Hövsan q.']",Yeni tikili,9 / 9,99 m²,4.0,var,,var,,
122,4722280,465000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,,245 m²,4.0,var,var,var,6 sot,
123,5199494,153000,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,8 / 17,65 m²,3.0,var,var,var,,
124,5234756,185000,AZN,"['Qara Qarayev m.', 'Nizami r.']",Yeni tikili,3 / 16,97 m²,2.0,yoxdur,,yoxdur,,
125,5103441,4500,AZN,"['Sabunçu r.', 'Nardaran q.']",Həyət evi/Bağ evi,,250 m²,4.0,,,var,7 sot,
126,5192886,900,AZN,"['Şərq bazarı', '28 May m.', 'Nərimanov r.']",Ofis,,50 m²,2.0,,,var,,Ev / Mənzil
127,5234831,500,AZN,"['İnşaatçılar m.', 'Yasamal r.', 'Yeni Yasamal q.']",Yeni tikili,12 / 19,52 m²,1.0,,,var,,
128,5224064,178000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,,150 m²,4.0,var,,var,2.7 sot,
129,5236399,219000,AZN,"['Qara Qarayev m.', 'Koroğlu m.', 'Nizami r.']",Yeni tikili,4 / 10,85 m²,3.0,var,,var,,
130,4746089,88000,AZN,"['Sabunçu r.', 'Nardaran q.']",Torpaq,,11 sot,,var,var,,,
131,5208974,219000,AZN,"['28 May m.', 'Bakı Slavyan Universiteti', 'Azərbaycan Dövlət Neft və Sənaye Universiteti', 'Azərbaycan Dillər Universiteti', 'Nəsimi r.']",Yeni tikili,12 / 17,51 m²,2.0,var,,var,,
132,5189038,154000,AZN,"['Neftçilər m.', 'Nizami r.']",Yeni tikili,15 / 18,67 m²,2.0,var,var,var,,
133,4606322,510000,AZN,"['Bayıl parkı', 'Səbail r.', 'Bayıl q.']",Yeni tikili,1 / 19,165 m²,4.0,yoxdur,,yoxdur,,
134,5234994,1150,AZN,"['Nəriman Nərimanov m.', 'Nərimanov r.']",Yeni tikili,15 / 18,100 m²,2.0,,,var,,
135,5077470,570000,AZN,"['Elmlər Akademiyası m.', 'Hüseyn Cavid parkı', 'Yasamal r.']",Yeni tikili,10 / 18,210 m²,4.0,var,,var,,
136,5230715,700,AZN,"['Şərq bazarı', '28 May m.', 'Nəsimi r.']",Yeni tikili,4 / 18,59 m²,2.0,,,var,,
137,4887948,123000,AZN,"['Memar Əcəmi m.', 'Nəsimi r.', '2-ci mikrorayon q.']",Köhnə tikili,5 / 5,58 m²,2.0,var,,var,,
138,5237479,210000,AZN,"['Səbail r.', 'Bayıl q.']",Yeni tikili,7 / 17,90 m²,4.0,var,,var,,
139,5221180,190000,AZN,"['Suraxanı r.', 'Yeni Günəşli q.']",Köhnə tikili,3 / 9,105 m²,4.0,var,var,var,,
140,5055415,32720,AZN,"['Elmlər Akademiyası m.', 'İnşaatçılar m.', 'Yasamal r.']",Ofis,,1636 m²,20.0,,,var,,Biznes mərkəzi
141,5235930,168000,AZN,"['Yasamal bazarı', 'İnşaatçılar m.', 'Yasamal r.']",Köhnə tikili,9 / 9,55 m²,2.0,var,,var,,
142,5224428,305000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,,160 m²,,var,,var,3.7 sot,
143,5018479,470000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,,200 m²,5.0,var,var,var,5.7 sot,
144,5217622,58000,AZN,"['Xəzər r.', 'Binə q.']",Həyət evi/Bağ evi,,80 m²,3.0,yoxdur,,var,1.5 sot,
145,5237775,270000,AZN,"['Həzi Aslanov m.', 'Xətai r.']",Yeni tikili,11 / 16,111 m²,3.0,yoxdur,,var,,
146,5236584,530000,AZN,"['Memar Əcəmi m.', 'Binəqədi r.']",Obyekt,,158 m²,,var,var,var,,
147,5112140,3500,AZN,"['Ağ şəhər', 'Xətai r.', 'Ağ şəhər q.']",Ofis,,90 m²,3.0,,,var,,Biznes mərkəzi
148,5070688,5500,AZN,"['Sea Breeze', 'Sabunçu r.', 'Nardaran q.']",Yeni tikili,4 / 8,50 m²,1.0,,,var,,
149,5081216,650000,AZN,"['Texniki Universiteti', 'Hüseyn Cavid parkı', 'Sovetski', 'Nərimanov heykəli', 'Elmlər Akademiyası m.', 'Yasamal r.']",Yeni tikili,4 / 15,130 m²,3.0,var,var,var,,
150,4990909,390000,AZN,"['ASAN Xidmət №1', 'Neftçi bazası', 'Tibb Universiteti', 'Nəsimi r.']",Obyekt,,107 m²,,yoxdur,,var,,
151,4978315,135000,AZN,"['Sabunçu r.', 'Bilgəh q.']",Torpaq,,10 sot,,var,,,,
152,5225261,167000,AZN,"['Qara Qarayev m.', 'Nizami r.']",Yeni tikili,11 / 12,56 m²,2.0,yoxdur,,var,,
153,4905632,365000,AZN,"['Xəzər r.', 'Mərdəkan q.']",Həyət evi/Bağ evi,,170 m²,4.0,var,var,var,5 sot,
154,5217647,250000,AZN,"['8 Noyabr m.', 'Bakı Asiya Universiteti', '20 Yanvar m.', 'Nəsimi r.']",Yeni tikili,16 / 17,120 m²,3.0,var,var,var,,
155,3334218,283000,AZN,"['Sabunçu r.', 'Nardaran q.']",Həyət evi/Bağ evi,,59.4 m²,1.0,yoxdur,,var,1 sot,
156,5101749,48000,AZN,"['Xəzər r.', 'Binə q.']",Həyət evi/Bağ evi,,100 m²,3.0,yoxdur,,var,200 sot,
157,5236032,132000,AZN,['Xətai r.'],Yeni tikili,12 / 16,60 m²,2.0,var,var,var,,
158,5238113,370000,AZN,"['Ağ şəhər', 'Şah İsmayıl Xətai m.', 'Xətai r.']",Yeni tikili,16 / 16,160 m²,4.0,yoxdur,,yoxdur,,
159,5237459,400,AZN,"['DİM', 'Neftçi bazası', 'Gənclik m.', 'Nərimanov r.']",Köhnə tikili,2 / 5,35 m²,1.0,,,var,,
160,5155862,275000,AZN,"['Nəriman Nərimanov m.', 'Gənclik m.', 'Nərimanov r.']",Yeni tikili,7 / 15,74 m²,2.0,yoxdur,,yoxdur,,
161,5208407,80000,AZN,"['Abşeron r.', 'Novxanı q.']",Həyət evi/Bağ evi,,180 m²,5.0,var,,,4 sot,
162,5236850,180000,AZN,"['Xəzər r.', 'Şüvəlan q.']",Həyət evi/Bağ evi,,120 m²,4.0,var,var,var,3 sot,
163,5236423,72000,AZN,['Abşeron r.'],Yeni tikili,8 / 11,50 m²,1.0,var,,var,,
164,4944754,41500,AZN,"['Abşeron r.', 'Masazır q.']",Həyət evi/Bağ evi,,65 m²,2.0,var,,var,1 sot,
165,4170452,140390,AZN,"['8 Noyabr m.', 'Nəsimi r.']",Yeni tikili,9 / 16,50.5 m²,1.0,yoxdur,var,yoxdur,,
166,4840003,215000,AZN,"['Koala parkı', 'Zoopark', 'Dostluq kinoteatrı', 'Nəsimi bazarı', 'Nəsimi r.']",Yeni tikili,1 / 5,90 m²,3.0,var,,var,,
167,4861651,1564000,AZN,"['Sabunçu r.', 'Nardaran q.']",Həyət evi/Bağ evi,,320 m²,6.0,var,var,var,4 sot,
168,5146305,317000,AZN,"['Binəqədi r.', '7-ci mikrorayon q.']",Yeni tikili,18 / 19,333 m²,4.0,var,var,yoxdur,,
169,5235650,590000,AZN,['Binəqədi r.'],Torpaq,,7 sot,,var,,,,
170,5236804,1800000,AZN,"['Nizami r.', '8-ci kilometr q.']",Torpaq,,30 sot,,var,,,,
171,5002499,310000,AZN,"['Zərifə Əliyeva adına park', 'Memar Əcəmi m.', 'Nəsimi m.', 'Binəqədi r.', '9-cu mikrorayon q.']",Yeni tikili,15 / 18,147 m²,3.0,var,,var,,
